"M","N","F","C","Message Exchanged","Bytes Transferred","Response Time"
"100.0","10.0","10.0","1.0","1142.0","34688896.0","11184648.0"
"100.0","50.0","10.0","1.0","1392.0","34669104.0","49798326.0"
"100.0","100.0","10.0","1.0","1561.0","37041440.0","92016487.0"
"100.0","150.0","10.0","1.0","1727.0","38325240.0","138734527.0"
"100.0","200.0","10.0","1.0","2072.0","41786488.0","184429954.0"
"100.0","250.0","10.0","1.0","2204.0","42023400.0","227660000.0"
"100.0","300.0","10.0","1.0","2393.0","45870480.0","275262240.0"
"100.0","350.0","10.0","1.0","2679.0","47429264.0","328379792.0"
"100.0","400.0","10.0","1.0","2918.0","51596320.0","369418149.0"
